,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kamuli,85,UG,1555690034,50,0.94,33.12,84.29,2.15
1,Hamilton,20,BM,1555689663,60,32.3,-64.78,72.0,12.75
2,Bredasdorp,100,ZA,1555689643,23,-34.53,20.04,73.4,11.41
3,Sitka,0,US,1555689680,48,37.17,-99.65,55.0,5.99
4,Ushuaia,75,AR,1555686000,81,-54.81,-68.31,46.4,32.21
5,Aksarka,92,RU,1555690035,90,66.56,67.8,19.49,5.48
6,Geraldton,20,CA,1555686000,34,49.72,-86.95,48.2,5.82
7,Soller,0,DE,1555690033,18,50.73,6.56,79.0,9.17
8,Cidreira,5,BR,1555690036,55,-30.17,-50.22,76.55,6.82
9,Pevek,100,RU,1555690036,93,69.7,170.27,13.55,12.19
10,Jamestown,100,AU,1555690037,26,-33.21,138.6,76.01,9.75
11,Butaritari,100,KI,1555690037,77,3.07,172.79,82.67,15.46
12,Beba,75,CU,1555687920,69,22.44,-79.73,80.6,8.05
13,Hilo,75,US,1555690020,88,19.71,-155.08,69.01,5.82
14,Bahia Blanca,0,AR,1555690038,29,-38.72,-62.27,71.69,6.08
15,Punta Arenas,20,CL,1555688586,62,-53.16,-70.91,51.8,17.22
16,Yaan,24,NG,1555690038,23,7.38,8.57,106.07,2.17
17,Severo-Kurilsk,1,RU,1555690038,90,50.68,156.12,34.43,23.15
18,Halifax,90,CA,1555689966,100,44.65,-63.58,51.01,23.04
19,Nhulunbuy,8,AU,1555687800,83,-12.18,136.78,77.0,4.7
20,Hermanus,100,ZA,1555689688,67,-34.42,19.24,66.99,1.99
21,Albany,90,US,1555689750,72,42.65,-73.75,72.0,9.17
22,Gua Musang,45,MY,1555690040,96,4.88,101.97,68.45,1.61
23,Kodiak,40,US,1555690024,17,39.95,-94.76,57.99,16.11
24,Lompoc,90,US,1555690010,100,34.64,-120.46,59.0,6.58
25,Carnarvon,83,ZA,1555690040,6,-30.97,22.13,80.69,23.09
26,Hithadhoo,100,MV,1555690040,79,-0.6,73.08,85.19,13.69
27,Baglung,43,NP,1555690040,48,28.27,83.59,48.47,1.95
28,Qazvin,40,IR,1555686000,66,36.28,50.01,55.4,4.7
29,Busselton,95,AU,1555690039,98,-33.64,115.35,44.01,30.02
30,Norman Wells,90,CA,1555688160,86,65.28,-126.83,28.4,4.7
31,Fez,75,MA,1555687800,63,34.03,-5.02,60.8,13.87
32,Sobolevo,90,RU,1555690041,38,54.43,31.9,52.79,2.33
33,Hobart,0,AU,1555689856,87,-42.88,147.33,48.0,5.82
34,Mercedes,98,UY,1555690042,65,-33.25,-58.03,75.29,6.98
35,Kindu,80,CD,1555690042,52,-2.95,25.92,90.41,1.16
36,Upernavik,1,GL,1555690042,64,72.79,-56.15,6.53,6.62
37,Zhigansk,1,RU,1555690042,83,66.77,123.37,12.83,7.23
38,Lebu,82,ET,1555690043,55,8.96,38.73,70.25,5.95
39,Bluff,0,AU,1555690043,78,-23.58,149.07,68.27,9.06
40,Yellowknife,90,CA,1555688564,86,62.45,-114.38,26.6,12.75
41,Mareeba,40,AU,1555689870,83,-16.99,145.42,73.4,12.75
42,Rikitea,3,PF,1555690043,74,-23.12,-134.97,78.35,7.0
43,Saint Anthony,1,US,1555689917,70,43.97,-111.68,55.0,4.29
44,Clyde River,40,CA,1555688160,83,70.47,-68.59,-5.81,9.17
45,Thompson,75,CA,1555686000,80,55.74,-97.86,39.2,3.36
46,Kathu,88,ZA,1555689672,37,-27.7,23.05,79.0,1.01
47,Puerto Ayora,20,EC,1555689681,74,-0.74,-90.35,84.2,12.75
48,Isangel,75,VU,1555686000,83,-19.55,169.27,78.8,22.15
49,Souris,90,CA,1555689966,100,46.36,-62.25,51.8,14.99
50,Toora-Khem,29,RU,1555690045,45,52.47,96.11,18.77,0.76
51,Belaya Gora,0,RU,1555690045,81,68.54,146.19,3.11,4.34
52,Katobu,0,ID,1555690046,93,-4.94,122.53,76.73,3.44
53,Chokurdakh,0,RU,1555690046,84,70.62,147.9,1.49,5.57
54,Saskylakh,43,RU,1555690046,94,71.97,114.09,-2.83,3.98
55,Quimper,0,FR,1555690025,50,48.0,-4.1,75.2,4.7
56,Barrow,0,AR,1555690047,31,-38.31,-60.23,71.87,2.17
57,Tanout,0,NE,1555690047,4,14.97,8.88,100.85,8.93
58,Gat,0,SN,1555687800,38,14.69,-16.54,87.8,14.99
59,Cayenne,75,GF,1555687800,70,4.94,-52.33,86.0,14.99
60,Bathsheba,40,BB,1555686000,62,13.22,-59.52,86.0,25.28
61,Praia da Vitoria,75,PT,1555689647,64,38.73,-27.07,73.4,8.57
62,Constitucion,5,MX,1555689616,26,23.99,-104.67,63.0,2.24
63,Whitianga,0,NZ,1555689910,90,-36.83,175.7,52.0,2.73
64,Cockburn Town,8,TC,1555690049,74,21.46,-71.14,78.53,20.65
65,Mar del Plata,60,AR,1555690049,43,-46.43,-67.52,58.01,18.77
66,Tlahuelilpan,0,MX,1555690050,47,20.13,-99.23,55.49,6.64
67,Grimshaw,20,CA,1555689651,56,56.19,-117.61,46.99,19.46
68,Amuntai,100,ID,1555690050,95,-2.42,115.25,76.37,1.16
69,Tasiilaq,78,GL,1555690050,84,65.61,-37.64,37.31,6.82
70,Kavaratti,69,IN,1555689810,73,10.57,72.64,84.47,13.13
71,Grand Haven,90,US,1555689755,75,43.06,-86.23,45.0,9.17
72,Neiafu,75,TO,1555686000,88,-18.65,-173.98,77.0,13.87
73,Sambava,98,MG,1555690051,98,-14.27,50.17,73.13,2.86
74,Faya,40,SA,1555686000,68,18.39,42.45,73.4,11.41
75,Roald,0,NO,1555689684,50,62.58,6.12,64.4,8.05
76,Salisbury,0,GB,1555689797,31,51.07,-1.8,75.0,10.29
77,Cape Town,40,ZA,1555689962,88,-33.93,18.42,66.0,14.99
78,Kjopsvik,100,NO,1555689681,87,68.1,16.37,48.0,36.91
79,Soe,0,EE,1555689814,23,57.91,26.05,62.6,11.41
80,Kisangani,95,CD,1555690033,38,0.52,25.21,94.91,0.87
81,Torbay,90,CA,1555689710,38,47.66,-52.73,42.8,17.22
82,Nobeoka,13,JP,1555688508,77,32.66,131.66,52.0,2.15
83,San Borja,100,BO,1555690053,62,-14.86,-66.75,86.99,1.05
84,Idukki,100,IN,1555689778,82,9.85,76.97,82.49,0.09
85,Guerrero Negro,97,MX,1555690054,73,27.97,-114.04,63.23,11.81
86,Provideniya,100,RU,1555690054,59,64.42,-173.23,8.51,3.85
87,Bambous Virieux,75,MU,1555689842,74,-20.34,57.76,80.6,6.93
88,New Norfolk,0,AU,1555689976,87,-42.78,147.06,48.0,5.82
89,Codrington,75,AU,1555689965,93,-28.95,153.24,71.6,4.79
90,Oga,58,NG,1555690055,26,8.18,5.65,103.19,0.94
91,Santa Cruz,90,US,1555689938,87,36.97,-122.03,66.99,4.7
92,Sao Miguel do Araguaia,26,BR,1555690023,53,-13.28,-50.16,92.57,2.64
93,Tuktoyaktuk,81,CA,1555690059,94,69.44,-133.03,8.33,12.77
94,Hovd,0,NO,1555689916,39,63.83,10.7,60.8,3.36
95,Dawson,90,US,1555689763,70,39.85,-89.46,48.99,17.22
96,East London,76,ZA,1555690061,52,-33.02,27.91,79.43,5.61
97,Lucapa,57,AO,1555690061,47,-8.42,20.74,86.99,5.5
98,Viedma,0,AR,1555690061,43,-40.81,-62.99,67.19,10.65
99,Nikolskoye,0,RU,1555689937,40,59.7,30.79,54.0,15.66
100,Aklavik,90,CA,1555686000,85,68.22,-135.01,10.4,4.7
101,Port Elizabeth,90,US,1555690043,73,39.31,-74.98,75.99,13.87
102,Linxia,100,CN,1555690062,62,35.6,103.21,47.21,3.94
103,Sao Filipe,0,CV,1555690063,86,14.9,-24.5,71.33,21.14
104,Kapaa,75,US,1555689709,73,22.08,-159.32,73.4,16.11
105,San Patricio,100,PY,1555690063,63,-26.98,-56.83,74.57,4.5
106,Santana do Paraiso,19,BR,1555690064,49,-19.36,-42.57,81.59,3.53
107,Preeceville,100,CA,1555690064,47,51.95,-102.67,51.53,14.56
108,Port Lincoln,13,AU,1555690064,43,-34.72,135.86,76.37,20.71
109,Salalah,20,OM,1555685400,70,17.01,54.1,84.2,9.17
110,Chapais,90,CA,1555688160,85,49.78,-74.86,35.6,11.41
111,Port Hedland,45,AU,1555687800,88,-20.31,118.58,80.6,10.29
112,Shunyi,0,CN,1555690045,33,40.13,116.65,57.99,4.47
113,Avarua,100,CK,1555687800,83,-21.21,-159.78,73.4,9.17
114,Bogorodskoye,100,RU,1555690066,98,52.37,140.44,29.75,7.38
115,Touros,100,BR,1555690066,74,-5.2,-35.46,83.93,11.05
116,Mataura,100,NZ,1555689608,96,-46.19,168.86,52.0,0.81
117,Kahului,90,US,1555689890,73,20.89,-156.47,73.4,11.41
118,Itarema,100,BR,1555690067,81,-2.92,-39.92,84.29,6.96
119,Bayan,0,MN,1555690068,46,47.25,107.54,28.67,22.1
120,Williams Lake,90,CA,1555686000,93,52.13,-122.14,37.4,3.36
121,Lampazos de Naranjo,0,MX,1555690068,32,27.02,-100.51,72.77,2.35
122,Marion,90,US,1555689897,81,35.21,-90.2,50.0,13.87
123,Atuona,18,PF,1555690069,73,-9.8,-139.03,83.21,9.48
124,Cherskiy,2,RU,1555690070,93,68.75,161.3,-3.56,7.36
125,Yazman,54,SY,1555690070,49,36.74,38.46,59.27,14.25
126,Hofn,100,IS,1555690071,99,64.25,-15.21,37.31,15.79
127,Edd,96,ER,1555690071,66,13.93,41.69,86.81,12.82
128,Labuhan,99,ID,1555690071,93,-2.54,115.51,75.83,2.75
129,Kaifeng,0,CN,1555686000,50,34.8,114.35,53.6,6.71
130,Qaanaaq,97,GL,1555690072,83,77.48,-69.36,-14.89,4.79
131,Le Port,0,FR,1555690068,32,42.87,1.37,68.0,14.99
132,Luderitz,72,NA,1555689854,84,-26.65,15.16,59.81,14.58
133,Samarai,23,PG,1555690073,88,-10.62,150.67,73.13,3.09
134,Lagoa,20,PT,1555689746,87,37.14,-8.45,61.0,4.7
135,Yantal,96,RU,1555690074,75,56.85,105.25,20.93,14.61
136,Minatitlan,75,MX,1555686840,93,19.39,-104.05,75.2,2.86
137,Grand Junction,1,US,1555689747,32,39.06,-108.55,60.01,3.6
138,Odesskoye,64,RU,1555690074,51,54.21,72.97,32.27,4.32
139,Katsuura,75,JP,1555688291,62,33.93,134.5,57.2,11.41
